                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.61141,                 0.4725,                 1.0525,                0.94918,                0.73447,                 0.8246,                0.72185,                0.58114,                0.44685,                0.98955,             0.00053844,             0.00053844,             0.00053844
                     72,                0.61096,                0.46408,                 1.0462,                0.92202,                0.73616,                0.81977,                0.71392,                0.57713,                 0.4354,                 0.9813,             0.00052812,             0.00052812,             0.00052812
                     73,                0.60921,                0.46669,                 1.0488,                0.79624,                0.81637,                0.83328,                0.71951,                0.57698,                0.43618,                 0.9854,             0.00051781,             0.00051781,             0.00051781
                     74,                0.59991,                0.45692,                 1.0407,                0.80322,                0.77723,                0.82904,                0.71867,                0.57115,                0.44079,                0.97997,              0.0005075,              0.0005075,              0.0005075
                     75,                0.59837,                0.45748,                  1.041,                0.94495,                0.73464,                0.83726,                0.72303,                0.56152,                0.42857,                0.97378,             0.00049719,             0.00049719,             0.00049719
                     76,                0.59606,                0.45779,                 1.0396,                0.96331,                0.73273,                0.83856,                0.72937,                0.55693,                0.42331,                0.97268,             0.00048687,             0.00048687,             0.00048687
                     77,                0.59836,                0.45825,                 1.0437,                0.84473,                0.77847,                0.83032,                0.71925,                 0.5622,                0.43673,                0.97815,             0.00047656,             0.00047656,             0.00047656
                     78,                0.59197,                0.45158,                 1.0373,                  0.964,                0.73396,                0.82707,                0.72632,                0.55867,                0.42888,                 0.9746,             0.00046625,             0.00046625,             0.00046625
                     79,                0.58681,                0.44758,                 1.0401,                0.89977,                0.76925,                0.84125,                0.73033,                0.54937,                0.42044,                0.96815,             0.00045594,             0.00045594,             0.00045594
                     80,                0.58713,                0.44845,                 1.0375,                0.90493,                0.76486,                0.83354,                 0.7251,                0.55964,                0.42633,                0.97274,             0.00044563,             0.00044563,             0.00044563
                     81,                0.58427,                0.44351,                 1.0341,                0.92778,                0.75235,                0.85227,                0.73639,                0.55122,                0.42503,                 0.9654,             0.00043531,             0.00043531,             0.00043531
                     82,                0.58577,                0.44593,                 1.0387,                0.86658,                 0.7628,                0.84927,                0.73978,                0.55566,                0.42888,                0.97043,               0.000425,               0.000425,               0.000425
                     83,                0.57979,                0.44265,                 1.0338,                0.87111,                0.80543,                0.84656,                0.73213,                0.55544,                0.42152,                0.96847,             0.00041469,             0.00041469,             0.00041469
                     84,                0.57675,                 0.4353,                   1.03,                0.88144,                0.77471,                0.84367,                0.72788,                0.55773,                0.42839,                0.96956,             0.00040438,             0.00040438,             0.00040438
                     85,                0.57499,                0.43594,                 1.0301,                0.80678,                0.81857,                0.83529,                0.73141,                0.55849,                0.43487,                0.97104,             0.00039406,             0.00039406,             0.00039406
                     86,                0.56761,                0.42898,                 1.0257,                0.79839,                0.82886,                0.83686,                0.72868,                 0.5462,                0.42624,                0.96393,             0.00038375,             0.00038375,             0.00038375
                     87,                0.56428,                 0.4254,                 1.0226,                0.81593,                0.80607,                0.84261,                0.74071,                0.54961,                0.42285,                0.96616,             0.00037344,             0.00037344,             0.00037344
                     88,                0.56533,                 0.4309,                  1.028,                0.83262,                 0.8229,                 0.8484,                0.74606,                0.54219,                0.42265,                0.96305,             0.00036313,             0.00036313,             0.00036313
                     89,                0.56472,                0.42639,                 1.0207,                0.84303,                0.81336,                0.85448,                0.74769,                0.53924,                0.42198,                0.96176,             0.00035281,             0.00035281,             0.00035281
                     90,                0.55667,                0.42292,                 1.0207,                 0.8707,                0.79422,                0.85308,                0.75466,                0.53582,                0.41193,                 0.9608,              0.0003425,              0.0003425,              0.0003425
                     91,                0.55424,                0.42428,                  1.016,                0.89647,                0.76337,                0.84392,                0.74449,                0.53799,                0.41575,                0.96293,             0.00033219,             0.00033219,             0.00033219
